Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.08G058400,Gm08,4479603-4483695,sphingosine kinase 1,IPR001206;IPR016064,GO:0003951;GO:0004143;GO:0007205;GO:0008152
Glyma.08G058500,Gm08,4486196-4488069,"nucleolar protein 12, 25 kDa protein;",IPR019186,NA
Glyma.08G058600,Gm08,4491110-4497350,Calmodulin-binding protein;,IPR012416,NA
Glyma.08G058700,Gm08,4498466-4499240,LysM domain protein;,IPR018392,GO:0016998
Glyma.08G058800,Gm08,4500174-4504263,riboflavin kinase/fmn hydrolase; ,IPR023465;IPR023468,GO:0008531;GO:0009231
Glyma.08G058900,Gm08,4506731-4508241,F-box family protein;,IPR001810,GO:0005515
Glyma.08G059000,Gm08,4514662-4516462,FAD-binding Berberine family protein,IPR012951;IPR016166,GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114
Glyma.08G059100,Gm08,4520156-4521830,FAD-binding Berberine family protein,IPR012951;IPR016166,GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114
Glyma.08G059200,Gm08,4532509-4534106,tripartite motif-containing protein 26-like [Glycine max],NA,NA
Glyma.08G059300,Gm08,4536642-4543433,"external alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial-like isoform X2 [Glycine max]; -binding domain)",IPR011992;IPR013027;IPR023753,GO:0005509;GO:0016491;GO:0050660;GO:0055114
Glyma.08G059500,Gm08,4557040-4563744,transport inhibitor response 1-like protein-like [Glycine max];,IPR006553,NA
Glyma.08G059600,Gm08,4571914-4575658,armadillo/beta-catenin repeat protein,IPR016024,GO:0005488;GO:0005515
Glyma.08G059700,Gm08,4597004-4602886,sugar porter (SP) family MFS transporter,IPR005828;IPR016196,GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0055085
Glyma.08G059800,Gm08,4611203-4615244,structural molecule protein;,IPR008962,GO:0005198
Glyma.08G059900,Gm08,4623199-4625052,MYB transcription factor MYB48 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.08G060100,Gm08,4633958-4641283,Protein kinase superfamily protein;,IPR011009,NA
Glyma.08G060200,Gm08,4641420-4648948,Transcription factor jumonji (jmjC) domain-containing protein,IPR001368;IPR001841;IPR003347;IPR014977,GO:0005515;GO:0008270
Glyma.08G060400,Gm08,4654886-4665755,protein PLANT CADMIUM RESISTANCE 2-like [Glycine max];,IPR006461,NA
Glyma.08G060300,Gm08,4658388-4661223,Octicosapeptide/Phox/Bem1p family protein;,IPR000270,GO:0005515
Glyma.08G060500,Gm08,4671428-4676387,"receptor-like serine/threonine kinase 2;  ,",IPR000858;IPR001480;IPR003609;IPR011009;IPR013320;IPR024171,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0048544
Glyma.08G060600,Gm08,4679795-4684610,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.08G060700,Gm08,4683881-4686717,Cellulase (glycosyl hydrolase family 5) protein,IPR000772;IPR017853,GO:0005975
Glyma.08G060800,Gm08,4687837-4697346,"receptor-like serine/threonine kinase 2;  ,",IPR000742;IPR000858;IPR001480;IPR003609;IPR011009;IPR013320;IPR021820;IPR022126;IPR024171,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468;GO:0048544
Glyma.08G060900,Gm08,4696596-4700702,G-type lectin S-receptor-like Serine/Threonine-kinase,IPR000742;IPR000858;IPR003609,GO:0005515;GO:0048544
Glyma.08G061000,Gm08,4699841-4705323,"receptor-like serine/threonine kinase 2;  ,",IPR000742;IPR000858;IPR001480;IPR003609;IPR011009;IPR013320;IPR021820;IPR024171,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468;GO:0048544
Glyma.08G061100,Gm08,4715208-4718691,U-box domain-containing protein 8-like [Glycine max],IPR013083;IPR016024,GO:0000151;GO:0004842;GO:0005488;GO:0005515;GO:0016567
Glyma.08G061200,Gm08,4725306-4728658,Quinone reductase family protein; ,IPR005025;IPR010089,GO:0010181;GO:0016491
Glyma.08G061300,Gm08,4738206-4742213,transcription factor bHLH123-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.08G061500,Gm08,4751918-4754975,Pentatricopeptide repeat (PPR-like) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.08G061600,Gm08,4756625-4761344,terpene synthase 14; ,IPR008930,GO:0008152;GO:0010333;GO:0016829
Glyma.08G061700,Gm08,4765073-4770605,myosin-3-like isoform X2 [Glycine max]; ,IPR011990;IPR013083,GO:0005515;GO:0046872
Glyma.08G061800,Gm08,4771480-4777085,eukaryotic translation initiation factor-related,NA,NA
Glyma.08G061900,Gm08,4784566-4790188,Protein kinase superfamily protein,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.08G062000,Gm08,4790378-4793499,NAD(P)-binding Rossmann-fold superfamily protein -binding domain); ,IPR001509;IPR016040,GO:0003824;GO:0044237;GO:0050662
Glyma.08G062100,Gm08,4795238-4798514,dihydroflavonol 4-reductase -binding domain); ,IPR001509;IPR016040,GO:0003824;GO:0044237;GO:0050662
Glyma.08G062200,Gm08,4801353-4804111,unknown protein,NA,NA
Glyma.08G062300,Gm08,4805256-4808026,"(2R)-phospho-3-sulfolactate synthase ComA; -phospho-3-sulpholactate synthase, ComA),",IPR003830;IPR013785;IPR015500,GO:0003824;GO:0019295
Glyma.08G062400,Gm08,4811657-4813360,uncharacterized protein LOC100817613 [Glycine max];,IPR009606,NA
Glyma.08G062500,Gm08,4816170-4823530,ATP binding microtubule motor family protein,IPR001752;IPR027417;IPR027640,GO:0003777;GO:0005524;GO:0005871;GO:0007018;GO:0008017
Glyma.08G062600,Gm08,4820803-4828059,Sulfite exporter TauE/SafE family protein;,IPR002781,GO:0016021
Glyma.08G062650,Gm08,4833835-4835635,probably inactive leucine-rich repeat receptor-like protein kinase At5g48380-like [Glycine max],NA,NA
Glyma.08G062700,Gm08,4835732-4839190,receptor-like kinase 1,IPR001611;IPR011009;IPR013210,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.08G062800,Gm08,4839534-4842964,receptor-like protein kinase 4,IPR011009;IPR013320,GO:0004672;GO:0005524;GO:0006468
Glyma.08G062900,Gm08,4843653-4848332,receptor-like kinase 902,IPR001611;IPR011009;IPR013210,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.08G063000,Gm08,4848992-4853056,branched-chain amino acid transaminase 2,IPR001544,GO:0003824;GO:0004084;GO:0008152;GO:0009081
Glyma.08G063100,Gm08,4853450-4854142,zinc transporter ZTP29-like isoform X2 [Glycine max],NA,NA
Glyma.08G063201,Gm08,4854869-4857338,branched-chain amino acid transaminase 2,IPR001544,GO:0003824;GO:0004084;GO:0008152;GO:0009081
Glyma.08G063300,Gm08,4858172-4863704,branched-chain amino acid transaminase 2,IPR001544,GO:0003824;GO:0004084;GO:0008152;GO:0009081
Glyma.08G063400,Gm08,4873986-4879288,CBS domain-containing protein with a domain of unknown function (DUF21),IPR000644;IPR002550,GO:0030554
Glyma.08G063500,Gm08,4883220-4889482,LL-diaminopimelate aminotransferase,IPR015424;IPR019942,GO:0003824;GO:0009058;GO:0009089;GO:0030170
Glyma.08G063700,Gm08,4895059-4899971,squalene monooxygenase 2,IPR003042;IPR006076,GO:0004506;GO:0008152;GO:0016021;GO:0016491;GO:0050660;GO:0055114
Glyma.08G063800,Gm08,4903952-4907312,malate dehydrogenase,IPR001557,GO:0003824;GO:0005975;GO:0006108;GO:0016491;GO:0016615;GO:0030060;GO:0044262;GO:0055114
Glyma.08G063950,Gm08,4911892-4913712,transcription factor bHLH25-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.08G064100,Gm08,4918654-4921898,aldo/keto reductase family oxidoreductase,IPR001395;IPR023210,NA
Glyma.08G064300,Gm08,4923872-4935943,DHHC-type zinc finger family protein; ,IPR001594;IPR020683,GO:0005515;GO:0008270
Glyma.08G064500,Gm08,4938976-4946884,Major facilitator superfamily protein; ,IPR011701;IPR016196,GO:0016021;GO:0055085
Glyma.08G064600,Gm08,4949751-4960096,K+ efflux antiporter 3 -binding domain),IPR006153;IPR016040,GO:0006812;GO:0006813;GO:0015299;GO:0016021;GO:0055085
Glyma.08G064700,Gm08,4962829-4965951,Glutamyl-tRNA reductase family protein -binding domain),IPR000343;IPR016040,GO:0008883;GO:0033014;GO:0050661;GO:0055114
Glyma.08G064800,Gm08,4969637-4973351,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.08G064900,Gm08,4974757-4979220,Phosphoglycerate mutase family protein;,IPR013078,NA
Glyma.08G065000,Gm08,4984422-4987225,octicosapeptide/Phox/Bem1p (PB1) domain-containing protein;,IPR000270,GO:0005515
Glyma.08G065100,Gm08,4993777-4997337,heat shock protein 70; ,IPR013126,GO:0005524;GO:0006457;GO:0051082
Glyma.08G065150,Gm08,4999502-5000451,oligopeptide transporter 4;,IPR004813,GO:0055085
Glyma.08G065200,Gm08,5005110-5009489,hypothetical protein,NA,NA
Glyma.08G065300,Gm08,5010192-5029644,MADS-box transcription factor 6 [Glycine max],IPR002100;IPR002487,GO:0003677;GO:0003700;GO:0005634;GO:0046983
Glyma.08G065400,Gm08,5040422-5046967,MADS-box transcription factor 6 [Glycine max],IPR002100;IPR002487,GO:0003677;GO:0003700;GO:0005634;GO:0046983
Glyma.08G065500,Gm08,5058348-5060348,protein serine/threonine kinases; protein kinases; ATP binding; sugar binding; kinases; carbohydrate binding,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G065700,Gm08,5070301-5071803,lectin-receptor kinase,IPR008985;IPR013320,GO:0030246
Glyma.08G065800,Gm08,5073189-5076829,receptor lectin kinase,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G065900,Gm08,5081239-5084506,receptor lectin kinase,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G066000,Gm08,5086689-5089578,lectin receptor kinase a4.3,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G066100,Gm08,5090688-5093615,protein serine/threonine kinases; protein kinases; ATP binding; sugar binding; kinases; carbohydrate binding,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G066200,Gm08,5097689-5100150,receptor lectin kinase,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G066300,Gm08,5099900-5103542,F-box family protein;,IPR005174,NA
Glyma.08G066500,Gm08,5107953-5109153,uncharacterized protein LOC100784485 [Glycine max];,IPR007656,NA
Glyma.08G066600,Gm08,5110826-5119502,"methylmalonate-semialdehyde dehydrogenase activity),",IPR010061;IPR016161,GO:0004491;GO:0008152;GO:0016491;GO:0055114
Glyma.08G066700,Gm08,5119993-5123694,HVA22 homologue A; ,IPR003604;IPR004345,GO:0003676;GO:0008270
Glyma.08G066800,Gm08,5127138-5128958,UDP-Glycosyltransferase superfamily protein;,IPR002213,GO:0008152
Glyma.08G066900,Gm08,5138239-5141032,Class I glutamine amidotransferase-like superfamily protein;,IPR017926,NA
Glyma.08G067000,Gm08,5152067-5155543,Cox19-like CHCH family protein,IPR009069;IPR010625,NA
Glyma.08G067100,Gm08,5157569-5167029,dynamin-related protein 3A,IPR000375;IPR001401;IPR020850;IPR022812;IPR027417,GO:0003924;GO:0005525
Glyma.08G067200,Gm08,5169113-5174658,GATA transcription factor 1,IPR010399;IPR010402;IPR013088,GO:0003700;GO:0005515;GO:0008270;GO:0043565
Glyma.08G067300,Gm08,5176449-5177729,costars family protein abracl protein;,IPR027817,NA
Glyma.08G067400,Gm08,5178472-5184516,RNA-binding KH domain-containing protein;,IPR004087,GO:0003723
Glyma.08G067500,Gm08,5186025-5188838,"fructose-1,6-bisphosphatase",IPR000146,GO:0005975;GO:0042578
Glyma.08G067600,Gm08,5189996-5194148,isochorismatase hydrolase family protein,IPR000868,GO:0003824;GO:0008152
Glyma.08G067700,Gm08,5193117-5207111,"protein EXECUTER 1, chloroplastic-like [Glycine max];",IPR021894,NA
Glyma.08G067741,Gm08,5207712-5208256,Unknown protein,NA,NA
Glyma.08G067761,Gm08,5209111-5209679,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: cultured cell",NA,NA
Glyma.08G067781,Gm08,5214506-5215001,Unknown protein,NA,NA
Glyma.08G067800,Gm08,5218737-5221781,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: cultured cell ;",IPR013714,NA
Glyma.08G067900,Gm08,5222867-5225302,magnesium-dependent phosphatase-like protein,IPR010036;IPR023214,GO:0016791
Glyma.08G068000,Gm08,5225256-5228745,ycf20-like protein-like [Glycine max];,IPR007572,NA
Glyma.08G068100,Gm08,5229282-5236355,RAB GDP dissociation inhibitor 2,IPR018203,GO:0005093;GO:0015031
Glyma.08G068200,Gm08,5237646-5247952,MADS-box transcription factor 6 [Glycine max],IPR002100;IPR002487,GO:0003677;GO:0003700;GO:0005634;GO:0046983
Glyma.08G068300,Gm08,5255109-5259733,dnaJ homolog subfamily B member 14-like [Glycine max];,IPR001623,NA
Glyma.08G068600,Gm08,5276802-5277551,Unknown protein,NA,NA
Glyma.08G068700,Gm08,5282970-5283778,17.6 kDa class II heat shock protein;,IPR008978,NA
Glyma.08G068800,Gm08,5286630-5287572,17.6 kDa class II heat shock protein;,IPR008978,NA
Glyma.08G068900,Gm08,5288852-5289489,Unknown protein,NA,NA
Glyma.08G069000,Gm08,5291100-5292184,17.6 kDa class II heat shock protein;,IPR008978,NA
Glyma.08G069100,Gm08,5293112-5293806,Unknown protein,NA,NA
Glyma.08G069200,Gm08,5296221-5296984,Unknown protein,NA,NA
Glyma.08G069300,Gm08,5301172-5302007,leguminosin group485 secreted peptide,NA,NA
Glyma.08G069400,Gm08,5317655-5322856,oxoprolinase 1,IPR002821;IPR003692;IPR008040,GO:0003824;GO:0016787
Glyma.08G069500,Gm08,5322857-5324421,uncharacterized protein LOC102670394 [Glycine max],NA,NA
Glyma.08G069700,Gm08,5329467-5333329,transcription factor SAC51-like [Glycine max],NA,NA
Glyma.08G069800,Gm08,5338882-5342489,BTB/POZ domain-containing protein [Glycine max]; ,IPR011333;IPR013805;IPR027356,GO:0005515
Glyma.08G069900,Gm08,5349774-5352070,unknown protein;,IPR007657,NA
Glyma.08G070000,Gm08,5353087-5356660,probable 2-oxoglutarate/Fe(II)-dependent dioxygenase-like [Glycine max],IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.08G070100,Gm08,5356104-5359016,RING-H2 finger protein 2B,IPR013083,GO:0005515;GO:0008270
Glyma.08G070200,Gm08,5360993-5364995,uncharacterized protein LOC100305915 isoform X1 [Glycine max],NA,NA
Glyma.08G070300,Gm08,5365703-5366490,classical arabinogalactan protein 1-like [Glycine max],NA,NA
Glyma.08G070400,Gm08,5369731-5374187,"riboflavin biosynthesis protein, putative",IPR000422;IPR000926;IPR016299,GO:0003935;GO:0009231
Glyma.08G070500,Gm08,5375534-5387241,LMBR1 domain-containing protein 2 homolog A-like isoform X1 [Glycine max];,IPR006876,NA
Glyma.08G070600,Gm08,5387242-5391856,UbiA prenyltransferase family protein,IPR000537,GO:0004659;GO:0016021
Glyma.08G070700,Gm08,5400292-5407348,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.08G070800,Gm08,5416572-5423264,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.08G070900,Gm08,5425906-5430261,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.08G071033,Gm08,5430623-5434994,ATP-binding ABC transporter,IPR027417,GO:0000166;GO:0005524;GO:0016887;GO:0017111
Glyma.08G071100,Gm08,5437621-5442955,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.08G071200,Gm08,5452530-5459572,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.08G071300,Gm08,5467114-5468968,Phosphate-responsive 1 family protein;,IPR006766,NA
Glyma.08G071401,Gm08,5490250-5491846,HXXXD-type acyl-transferase family protein,IPR003480;IPR023213,NA
Glyma.08G071502,Gm08,5492990-5496017,metacaspase 1,IPR011600,GO:0004197;GO:0006508
Glyma.08G071601,Gm08,5496814-5499316,metacaspase 3,IPR011600,GO:0004197;GO:0006508
Glyma.08G071700,Gm08,5499917-5507152,metacaspase 1,IPR011600,GO:0004197;GO:0006508
Glyma.08G071900,Gm08,5510416-5518948,"Protein phosphatase 2C family protein; -like domain),",IPR001932;IPR015655,GO:0003824
Glyma.08G072000,Gm08,5521904-5525834,tobamovirus multiplication 1;,IPR009457,NA
Glyma.08G072100,Gm08,5526904-5538395,calmodulin-binding transcription activator 1,IPR000048;IPR005559;IPR013783;IPR014756;IPR020683;IPR027417,GO:0003677;GO:0005515;GO:0005634
Glyma.08G072200,Gm08,5544751-5547019,alternative oxidase 2,IPR002680,GO:0009916;GO:0055114
Glyma.08G072300,Gm08,5548114-5552025,alternative oxidase 2,IPR002680,GO:0009916;GO:0055114
Glyma.08G072400,Gm08,5553687-5569573,P-ATPase family transporter: copper ion; heavy metal transporting P-type ATPase-like protein n=1 Tax=Ostreococcus lucimarinus (strain CCE9901) RepID=A4S4X5_OSTLU,IPR001757;IPR023214,GO:0000166;GO:0006812;GO:0016021;GO:0019829;GO:0030001;GO:0046872
Glyma.08G072500,Gm08,5564241-5576220,Potassium transporter family protein; ,IPR003855,GO:0015079;GO:0016020;GO:0071805
Glyma.08G072600,Gm08,5579299-5582292,RNA-binding protein 8A-like [Glycine max],IPR012677,GO:0000166;GO:0003676
Glyma.08G072700,Gm08,5585724-5587068,Heavy metal transport/detoxification superfamily protein,IPR006121,GO:0030001;GO:0046872
Glyma.08G072800,Gm08,5587909-5590171,uncharacterized protein LOC100779456 [Glycine max],NA,NA
Glyma.08G072901,Gm08,5591281-5593586,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.08G073000,Gm08,5595064-5597373,ribosomal protein L32,IPR002677;IPR011332,GO:0003735;GO:0006412;GO:0015934
Glyma.08G073100,Gm08,5607056-5613128,pumilio-family RNA-binding repeatprotein,IPR016024,GO:0003723;GO:0005488
Glyma.08G073200,Gm08,5613176-5616935,2Fe-2S iron-sulfur cluster-binding domain protein; ,IPR001055;IPR012675,GO:0009055;GO:0051536
Glyma.08G073300,Gm08,5619266-5629287,dentin sialophosphoprotein-like isoform X2 [Glycine max],NA,NA
Glyma.08G073400,Gm08,5626833-5627473,Unknown protein,NA,NA
Glyma.08G073500,Gm08,5627994-5632133,uncharacterized protein LOC100780521 isoform X1 [Glycine max],NA,NA
Glyma.08G073600,Gm08,5635118-5644678,endoplasmic reticulum-Golgi intermediate compartment protein 3-like [Glycine max];,IPR012936,NA
Glyma.08G073700,Gm08,5647515-5650910,"Marine sediment metagenome DNA, contig: S01H1_C00432 n=1 Tax=marine sediment metagenome RepID=X0SQ33_9ZZZZ",IPR016195,GO:0003677;GO:0003824;GO:0003887;GO:0006260
Glyma.08G073750,Gm08,5657834-5658167,Unknown protein,NA,NA
Glyma.08G073800,Gm08,5659231-5661533,hyccin-like [Glycine max];,IPR018619,NA
Glyma.08G073901,Gm08,5663157-5665392,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ n=3 Tax=Synechococcus RepID=FABZ_SYNPX; dehydratase, FabA/FabZ)",IPR013114,NA
Glyma.08G074000,Gm08,5665393-5666866,light-harvesting chlorophyll B-binding protein 3,IPR022796;IPR023329,GO:0016020
Glyma.08G074100,Gm08,5676578-5679032,Lipid transfer protein; ,IPR000528;IPR016140,GO:0006869;GO:0008289
Glyma.08G074200,Gm08,5682017-5683117,DNAJ-like 20;,IPR001623,NA
Glyma.08G074300,Gm08,5684654-5686987,Heavy metal transport/detoxification superfamily protein,IPR006121,GO:0030001;GO:0046872
Glyma.08G074400,Gm08,5689834-5696894,Galactose oxidase/kelch repeat superfamily protein,IPR001810;IPR015916,GO:0005515
Glyma.08G074500,Gm08,5698245-5706032,receptor-like protein kinase 2; ,IPR001611;IPR011009;IPR013210;IPR013320;IPR025875,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468
Glyma.08G074602,Gm08,5708989-5712687,serine/arginine-rich splicing factor 4-like isoform X2 [Glycine max],IPR012677,GO:0000166;GO:0003676
Glyma.08G074700,Gm08,5719909-5727119,beta-D-xylosidase 4,IPR002772;IPR017853;IPR026891;IPR026892,GO:0005975
Glyma.08G074802,Gm08,5727329-5731725,N-carbamoylputrescine amidase-like [Glycine max]; ,IPR017755,GO:0006596;GO:0006807;GO:0050126
Glyma.08G074900,Gm08,5745666-5748642,uncharacterized protein LOC100809074 isoform X4 [Glycine max],NA,NA
Glyma.08G075000,Gm08,5748575-5751690,uncharacterized protein LOC102665928 isoform X2 [Glycine max],NA,NA
Glyma.08G075100,Gm08,5752199-5759681,"GTP binding protein, putative n=1 Tax=Ricinus communis RepID=B9SRI2_RICCO",IPR001401;IPR022812;IPR027417,GO:0003924;GO:0005525
Glyma.08G075200,Gm08,5760023-5762017,receptor lectin kinase,IPR008985;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0030246
Glyma.08G075300,Gm08,5772941-5774885,NAC domain containing protein 25;,IPR003441,GO:0003677
Glyma.08G075400,Gm08,5778853-5782612,Mitochondrial substrate carrier family protein,IPR002067;IPR023395,GO:0055085
Glyma.08G075500,Gm08,5785909-5787016,60S ribosomal protein L44-like [Glycine max],IPR000552;IPR011332,GO:0003735;GO:0005622;GO:0005840;GO:0006412
